timestamp,IA(A),IB(A),IC(A),IN(A),IG(A),VA(V),VB(V),VC(V),VS(V),VDC(V),LSENS1(%),LSENS2(%),LSENS3(%),LSENS4(%),*,*.1,*.2,*.3,FREQ,RMS_VA_T,RMS_VB_T,RMS_VC_T,RMS_IA_T,RMS_IB_T,RMS_IC_T
0.8270833333333333,-407.2935059634514,200.8183258569795,200.8183258569795,0.0,-3.2,374.7665940288702,-189.50461735799476,-185.26197667087547,399.0,-1.0,0.0,0.05,0.0,0.04,0.0,0.0,0.0,0.0,60.0,263.6687078513489,264.3941186940436,264.1844762661122,284.3798384203775,285.1930135890429,284.85383093790404
0.8276041666666667,-398.80822458921284,268.70057685088807,126.71353518862932,0.0,-1.6,366.2813126546316,-250.31580054003783,-115.9655121145938,436.0,-1.0,0.02,0.05,0.01,0.05,0.0,0.0,0.0,0.0,60.0,263.729975543168,264.3099506261541,264.2416034616805,284.50332599110334,285.15126249062973,284.90037732512747
0.828125,-373.3523804664971,323.85490578343877,46.38620484583752,0.0,-2.4,343.65389565666214,-302.64170234784234,-41.01219330881976,457.0,-1.0,0.02,0.05,0.01,0.05,0.0,0.0,0.0,0.0,60.0,263.78743810121057,264.20825119590796,264.26111613326697,284.6188547865373,285.10095580337855,284.91701423396955
0.8286458333333333,-335.16861428242356,369.10973977937783,-33.941125496954285,0.0,0.0,308.29855659733477,-342.23968209428904,32.526911934581186,459.0,-1.0,0.02,0.06,0.0,0.05,0.0,0.0,0.0,0.0,60.0,263.83896603799826,264.1508801802485,264.24373218678244,284.72248330611336,285.10095580337855,284.91273225322874
0.8291666666666667,-287.08535316173834,393.1513703397205,-107.48023074035522,-0.8,-0.8,261.6295090390226,-364.86709909225857,101.82337649086286,443.0,-1.0,0.02,0.05,0.01,0.06,0.0,0.0,0.0,0.0,60.0,263.9261260277201,264.0897101365367,264.1915734840913,284.81115234484764,285.10095580337855,284.85825422479866
0.8296875,-223.44574285494903,404.4650788387052,-181.01933598375618,0.0,0.0,202.2325394193526,-373.3523804664971,169.7056274847714,407.0,-1.0,0.02,0.05,0.01,0.06,0.0,0.0,0.0,0.0,60.0,263.9933711288979,264.0897101365367,264.1053293669024,284.91416251215037,285.10095580337855,284.7441395358296
0.8302083333333333,-140.28998538741104,393.1513703397205,-253.14422766478404,0.0,0.0,123.03657992645928,-363.45288552988546,237.58787847867998,344.0,-1.0,0.02,0.06,0.01,0.05,0.0,0.0,0.0,0.0,60.0,264.0540901027667,264.15040696542565,263.9849664280146,285.016069722393,285.16178302851176,284.625258014815
0.8307291666666666,-50.91168824543143,369.10973977937783,-315.36962440920024,0.0,1.6,46.66904755831214,-340.82546853191593,294.1564209736038,275.0,-1.0,0.01,0.06,0.0,0.05,0.0,0.0,0.0,0.0,60.0,264.0764567317579,264.1504069654257,263.9355982053198,285.03438389078605,285.10446331125723,284.47732774335464
0.83125,14.70782104868019,342.23968209428904,-353.5533905932738,0.0,1.6,-12.727922061357857,-316.7838379715733,326.683332908185,215.0,-1.0,0.01,0.05,0.01,0.05,0.0,0.0,0.0,0.0,60.0,264.0717232117063,264.203283476947,263.88077326701926,285.0324893762113,285.157399518231,284.47732774335464
0.8317708333333333,70.14499269370552,305.47012947258855,-376.1808075912433,0.0,0.0,-67.88225099390857,-281.4284989122459,347.8965363437814,150.0,-1.0,0.01,0.06,0.01,0.05,0.0,0.0,0.0,0.0,60.0,264.03657417107956,264.2969447420836,263.8223834324904,284.99656138276475,285.2516301443342,284.47732774335464
0.8322916666666667,138.0272436876141,251.73001410241093,-391.73715677734737,0.0,-0.8,-132.93607486307096,-231.9310242291876,363.45288552988546,70.0,-1.0,0.01,0.05,0.0,0.05,0.0,0.0,0.0,0.0,60.0,263.99159551016015,264.3740248208965,263.8223834324904,284.92251139564246,285.3676225502816,284.4163541359744
